class,concept,weight
chocolate cake,interior is fluffy,0.8
chocolate cake,color of a new penny,0.6
chocolate cake,cross-section,0.7
chocolate cake,light brown interior,0.6
chocolate cake,rich golden brown,0.7
chocolate cake,basic rectangle,0.5
chocolate cake,gooey and melted,0.7
chocolate cake,chocolate,1.0
chocolate cake,has two layers,0.5
chocolate cake,copper brown,0.5
chocolate cake,aromatic,0.5
chocolate cake,"round, flat cake",1.0
chocolate cake,golden brown bottom,0.5
chocolate cake,gooey brown color,1.0
chocolate cake,darker brown,0.5
chocolate cake,topped with fruit,0.5
chocolate cake,round or oval,1.0
chocolate cake,layered dish,0.9
chocolate cake,perfectly balanced,0.5
chocolate cake,stunning centerpiece,0.7
chocolate cake,color was perfect,0.6
chocolate cake,covered in a icing,0.8
chocolate cake,top and a bottom,0.6
chocolate cake,so satisfying,0.5
chocolate cake,uniform in thickness,0.5
chocolate cake,elegant,0.6
chocolate cake,brown in color,0.8
chocolate cake,melted together,0.7
chocolate cake,look very appetizing,0.8
chocolate cake,"soft, chewy inside",0.6
chocolate cake,baked or broiled,0.5
chocolate cake,top is rounded,0.7
chocolate cake,color is toasted,0.6
chocolate cake,evenly cooked,0.5
chocolate cake,"tall, round cake",0.8
chocolate cake,maida flour,0.5
chocolate cake,round,0.7
chocolate cake,golden and delicious,0.5
chocolate cake,deep sides,0.5
chocolate cake,color will be darker,0.9
chocolate cake,coffee brown,0.8
chocolate cake,rounded edges,0.6
chocolate cake,overall tender,0.5
chocolate cake,brownish black,0.7
chocolate cake,shape is round,0.7
chocolate cake,slight brown tint,0.5
chocolate cake,rich hue,0.7
chocolate cake,topping,0.5
chocolate cake,quite dark in color,1.0
chocolate cake,impressive,0.7
chocolate cake,garnishe,0.5
chocolate cake,bubbly and thick,0.5
chocolate cake,inviting,0.8
chocolate cake,suit anyone's taste,0.9
chocolate cake,slightly domed,0.6
chocolate cake,cracked and bubbled,0.5
chocolate cake,slightly shiny,0.5
chocolate cake,visually appealing,0.8
chocolate cake,look appetizing,0.9
chocolate cake,brown or grey,0.7
chocolate cake,uniform in shape,0.6
chocolate cake,hint of darkness,0.7
chocolate cake,a hit,0.5
chocolate cake,thick and viscous,0.6
chocolate cake,velvety,0.7
chocolate cake,delicate crumb,0.8
chocolate cake,round and flat,0.5
chocolate cake,swirl design,0.6
chocolate cake,moist and fugy,0.9
chocolate cake,dark and rich,1.0
chocolate cake,perfect crumb,0.8
chocolate cake,texture,0.8
chocolate cake,dark color,1.0
chocolate cake,soft and velvety,1.0
chocolate cake,inside is fluffy,0.7
chocolate cake,tender interior,0.6
chocolate cake,thick and sturdy,0.5
chocolate cake,thick throughout,0.7
chocolate cake,uniform brown color,0.9
chocolate cake,not too thin,0.5
chocolate cake,sheen,0.7
chocolate cake,darker brown center,0.8
chocolate cake,signature sweetness,0.9
chocolate cake,thick and gooey,0.8
chocolate cake,look slightly messy,0.6
chocolate cake,golden reddish brown,0.5
chocolate cake,round and thick,0.5
chocolate cake,round cross-section,0.6
chocolate cake,assembled,0.8
chocolate cake,"dark, rich brown",1.0
chocolate cake,full-bodied,0.7
chocolate cake,flavorful and,0.7
chocolate cake,generally round,0.8
chocolate cake,bottom layer is food,0.5
chocolate cake,surface is bumpy,0.7
chocolate cake,frosting is white,0.8
chocolate cake,"smooth, thick paste",0.5
chocolate cake,firm center,0.5
chocolate cake,"dark, sienna brown",0.5
chocolate cake,flavors,0.7
chocolate cake,"rich, indulgent",0.8
chocolate cake,surface was smooth,0.5
chocolate cake,dark and mysterious,0.7
chocolate cake,dense crumb,0.8
chocolate cake,drizzle on top,0.6
chocolate cake,slight thickness,0.5
chocolate cake,flat top and bottom,0.5
chocolate cake,"small, round cakes",0.6
chocolate cake,chewy center,0.7
chocolate cake,glossy sheen,0.7
chocolate cake,thick and sticky,0.7
chocolate cake,"round, like a cake",0.9
chocolate cake,"small, flat disk",0.5
chocolate cake,texture is perfect,0.6
chocolate cake,circular border,0.6
chocolate cake,burnt brown color,0.5
chocolate cake,not overcooked,0.7
chocolate cake,"dark, reddish brown",0.8
chocolate cake,meld together nicely,0.5
chocolate cake,slightly charred top,0.6
chocolate cake,symmetrical shape,0.8
chocolate cake,a rectangle,0.5
chocolate cake,looks perfect,0.7
chocolate cake,intense and inviting,0.6
chocolate cake,baked in a big pan,0.7
chocolate cake,solid,0.6
chocolate cake,small air bubbles,0.5
chocolate cake,symmetrical,0.8
chocolate cake,light brown edge,0.5
chocolate cake,very symmetrical,0.8
chocolate cake,light chocolate,0.5
chocolate cake,shiny surface,0.6
chocolate cake,cream,0.7
chocolate cake,chewy interior,0.5
chocolate cake,tall,0.5
chocolate cake,"dark, brown color",1.0
chocolate cake,moist interior,0.9
chocolate cake,variety of textures,0.6
chocolate cake,frosting,0.9
chocolate cake,cherry on top,0.7
chocolate cake,slight chewiness,0.5
chocolate cake,more brown in color,0.8
chocolate cake,color is heavenly,0.5
chocolate cake,"brown, sticky mess",0.7
chocolate cake,shaped like a circle,0.5
chocolate cake,round or oval-shaped,0.6
chocolate cake,uniform in color,0.8
chocolate cake,not too mushy,0.5
chocolate cake,gooey and melty,0.7
chocolate cake,messy affair,0.6
chocolate cake,vibrant brown color,0.8
chocolate cake,shaped like circles,0.5
chocolate cake,real milk chocolate,0.8
chocolate cake,"bright, sunny brown",0.7
chocolate cake,soft top,0.6
chocolate cake,dark brown edge,0.7
chocolate cake,stained a dark brown,0.6
chocolate cake,split open on top,0.5
chocolate cake,soft in the middle,0.7
chocolate cake,rich tone,0.9
chocolate cake,"round, blunt end",0.6
chocolate cake,warm to touch,0.5
chocolate cake,also slightly sweet,0.8
chocolate cake,still light and airy,0.5
chocolate cake,darker food,0.8
chocolate cake,nutmeg brown,0.6
chocolate cake,moderately thick,0.6
chocolate cake,brown or black,0.9
chocolate cake,blunt ends,0.5
chocolate cake,dark brown top,0.9
chocolate cake,a half-inch thick,0.5
chocolate cake,layered in dish,0.7
chocolate cake,round on the top,0.8
chocolate cake,sheen to them,0.6
chocolate cake,"round, dense cake",0.9
chocolate cake,round and smooth,0.8
chocolate cake,edges are straight,0.6
chocolate cake,reddish brown color,0.7
chocolate cake,rounded,0.5
chocolate cake,perfect circle,0.7
chocolate cake,crisp edges,0.5
chocolate cake,glazed,0.7
chocolate cake,hint of vanilla bean,0.5
chocolate cake,bit brown in color,0.6
chocolate cake,covered in sprinkles,0.5
chocolate cake,large tiered cakes,0.5
chocolate cake,brownish-gold,0.5
chocolate cake,earthy,0.6
chocolate cake,"deep, rich brown",0.9
chocolate cake,slightly rounded,0.6
chocolate cake,typically dark brown,0.9
chocolate cake,surface is smooth,0.7
chocolate cake,curved,0.5
chocolate cake,thickened,0.5
chocolate cake,uniform,0.5
chocolate cake,dark brown shell,0.8
chocolate mousse,looks appetizing,0.9
chocolate mousse,chocolate sprinkles,0.8
chocolate mousse,good,0.5
chocolate mousse,sugar,0.8
chocolate mousse,round and small,0.5
chocolate mousse,crack when spooned,0.6
chocolate mousse,brown and white,0.5
chocolate mousse,"moist, oily texture",0.7
chocolate mousse,once chilled,0.6
chocolate mousse,thick and pasty,0.8
chocolate mousse,melted,0.7
chocolate mousse,beautiful sheen,0.5
chocolate mousse,eggs,0.5
chocolate mousse,usually round,0.6
chocolate mousse,rich and smooth,0.9
chocolate mousse,soft inside,0.8
chocolate mousse,velvet,0.5
chocolate mousse,fluffy interior,0.7
chocolate mousse,chocolate drip,0.6
chocolate mousse,sweeter filling,0.5
chocolate mousse,deep,0.8
chocolate mousse,brown side,0.7
chocolate mousse,"round, like a food",0.6
chocolate mousse,slightly domed top,0.7
chocolate mousse,deep and inviting,0.7
chocolate mousse,white or chocolate,0.8
chocolate mousse,"large, round shape",0.5
chocolate mousse,darker than others,0.8
chocolate mousse,creamy interior,0.9
chocolate mousse,light brownish-gray,0.7
chocolate mousse,light and airy touch,0.9
chocolate mousse,rich and light,0.8
chocolate mousse,"small, ceramic bowl",0.6
chocolate mousse,chocolate hardens,0.7
chocolate mousse,with a perfect bite,0.5
chocolate mousse,top with a cherry,0.5
chocolate mousse,airy texture,0.9
chocolate mousse,"soft, fluffy inside",0.9
chocolate mousse,have a slight sheen,0.6
chocolate mousse,sheen from the cream,0.8
chocolate mousse,brownish red,0.5
chocolate mousse,color will be brown,1.0
chocolate mousse,symmetrical in shape,0.6
chocolate mousse,color is uniform,0.7
chocolate mousse,glossy surface,0.7
chocolate mousse,not at all greasy,0.5
chocolate mousse,"firm, yet velvety",0.8
chocolate mousse,gooey interior,0.6
chocolate mousse,soft on the inside,0.6
chocolate mousse,"deep, reddish brown",0.8
chocolate mousse,"rich, dark brown",1.0
chocolate mousse,gooey and bubbly,0.7
chocolate mousse,reddish brown,0.8
chocolate mousse,fill,0.5
chocolate mousse,interior is fluffy,0.8
chocolate mousse,color of a new penny,0.6
chocolate mousse,cross-section,0.7
chocolate mousse,rich golden brown,0.9
chocolate mousse,gooey and melted,0.8
chocolate mousse,chocolate,1.0
chocolate mousse,has two layers,0.5
chocolate mousse,aromatic,0.5
chocolate mousse,golden brown bottom,0.5
chocolate mousse,gooey brown color,0.7
chocolate mousse,darker brown,0.8
chocolate mousse,perfectly balanced,0.6
chocolate mousse,creamy and mild,0.8
chocolate mousse,so satisfying,0.7
chocolate mousse,elegant,0.5
chocolate mousse,brown in color,0.9
chocolate mousse,melted together,0.8
chocolate mousse,look very appetizing,0.7
chocolate mousse,"soft, chewy inside",0.6
chocolate mousse,slightly runny,0.7
chocolate mousse,top is rounded,0.5
chocolate mousse,color is toasted,0.5
chocolate mousse,few small bubbles,0.5
chocolate mousse,"tall, round cake",0.5
chocolate mousse,round,0.7
chocolate mousse,golden and delicious,0.6
chocolate mousse,color will be darker,0.8
chocolate mousse,coffee brown,0.7
chocolate mousse,slight firmness,0.5
chocolate mousse,slight brown tint,0.5
chocolate mousse,rich hue,0.6
chocolate mousse,quite dark in color,1.0
chocolate mousse,impressive,0.5
chocolate mousse,bubbly and thick,0.8
chocolate mousse,common in france,0.5
chocolate mousse,inviting,0.6
chocolate mousse,suit anyone's taste,0.7
chocolate mousse,scooped up,0.7
chocolate mousse,slightly domed,0.5
chocolate mousse,thicken,0.6
chocolate mousse,cracked and bubbled,0.5
chocolate mousse,slightly shiny,0.5
chocolate mousse,has a lot of bubbles,0.7
chocolate mousse,visually appealing,0.8
chocolate mousse,look appetizing,0.8
chocolate mousse,brown or grey,0.8
chocolate mousse,uniform in shape,0.6
chocolate mousse,hint of darkness,0.7
chocolate mousse,a hit,0.5
chocolate mousse,thick and viscous,0.7
chocolate mousse,velvety,0.9
chocolate mousse,swirl design,0.5
chocolate mousse,moist and fugy,0.8
chocolate mousse,dark and rich,0.9
chocolate mousse,texture,0.8
chocolate mousse,dark color,0.8
chocolate mousse,soft and velvety,0.9
chocolate mousse,uniform brown color,0.5
chocolate mousse,sheen,1.0
chocolate mousse,cloudy,0.7
chocolate mousse,darker brown center,1.0
chocolate mousse,signature sweetness,0.8
chocolate mousse,thick and gooey,1.0
chocolate mousse,look slightly messy,0.5
chocolate mousse,slight opacity,0.6
chocolate mousse,round cross-section,0.5
chocolate mousse,food is melting,0.5
chocolate mousse,bubbl,0.6
chocolate mousse,grainy texture,1.0
chocolate mousse,smooth custard base,0.8
chocolate mousse,"dark, rich brown",1.0
chocolate mousse,full-bodied,0.6
chocolate mousse,"smooth, thick paste",0.7
chocolate mousse,"dark, sienna brown",0.8
chocolate mousse,flavors,0.5
chocolate mousse,looks very luxurious,0.8
chocolate mousse,very pretty in color,0.5
chocolate mousse,"rich, indulgent",1.0
chocolate mousse,surface was smooth,0.7
chocolate mousse,slightly creamy,0.6
chocolate mousse,caramel brown color,0.9
chocolate mousse,dark and mysterious,0.9
chocolate mousse,have a glossy sheen,0.8
chocolate mousse,dense crumb,0.5
chocolate mousse,drizzle on top,0.6
chocolate mousse,slight thickness,0.7
chocolate mousse,chewy center,0.5
chocolate mousse,glossy sheen,0.8
chocolate mousse,thick and sticky,0.6
chocolate mousse,"round, like a cake",0.5
chocolate mousse,texture is perfect,0.7
chocolate mousse,not overcooked,0.5
chocolate mousse,"dark, reddish brown",0.9
chocolate mousse,meld together nicely,0.5
chocolate mousse,intense and inviting,0.6
chocolate mousse,small air bubbles,0.5
chocolate mousse,light chocolate,0.7
chocolate mousse,shiny surface,0.6
chocolate mousse,cream,0.5
chocolate mousse,"dark, brown color",1.0
chocolate mousse,dish,0.5
chocolate mousse,spherical shape,0.5
chocolate mousse,spooned into bowls,0.5
chocolate mousse,moist interior,0.7
chocolate mousse,variety of textures,0.5
chocolate mousse,shiny,0.6
chocolate mousse,more brown in color,0.8
chocolate mousse,served melted,0.5
chocolate mousse,"brown, sticky mess",0.7
chocolate mousse,chilled,1.0
chocolate mousse,uniform in color,0.7
chocolate mousse,gooey and melty,0.6
chocolate mousse,messy affair,0.5
chocolate mousse,vibrant brown color,0.8
chocolate mousse,real milk chocolate,0.9
chocolate mousse,"bright, sunny brown",0.5
chocolate mousse,soft top,0.6
chocolate mousse,stained a dark brown,0.6
chocolate mousse,looks nice and thick,0.7
chocolate mousse,garnished,0.5
chocolate mousse,soft in the middle,0.7
chocolate mousse,rich tone,0.8
chocolate mousse,also slightly sweet,0.7
chocolate mousse,still light and airy,0.9
chocolate mousse,darker food,0.9
chocolate mousse,moderately thick,0.8
chocolate mousse,brown or black,0.9
chocolate mousse,dark brown top,0.8
chocolate mousse,spherical or oblong,0.5
chocolate mousse,round on the top,0.6
chocolate mousse,sheen to them,0.7
chocolate mousse,opaque,0.5
chocolate mousse,round and smooth,0.8
chocolate mousse,spoon stands in it,0.6
chocolate mousse,reddish brown color,0.8
chocolate mousse,rounded,0.7
chocolate mousse,perfect circle,0.5
chocolate mousse,"deep, rich brown",0.9
chocolate mousse,no large chunks,0.7
chocolate mousse,slightly rounded,0.5
chocolate mousse,typically dark brown,0.9
chocolate mousse,surface is smooth,0.8
chocolate mousse,thickened,0.6
chocolate mousse,light and delicate,0.7
chocolate mousse,uniform,0.6
chocolate mousse,dark brown shell,0.7
chocolate mousse,"clean, simple look",0.5
churros,rolled up and fried,0.8
churros,looks appetizing,0.5
churros,thick and chewy,0.6
churros,shaped like a tube,0.9
churros,golden hue,0.7
churros,shaped like a log,0.8
churros,star shape,0.6
churros,regal golden color,0.7
churros,ends are pointed,0.5
churros,have a crispy shell,1.0
churros,dark amber color,0.7
churros,oily,0.6
churros,sugar,0.8
churros,ends are tapered,0.9
churros,tubes,0.9
churros,deep golden color,0.9
churros,"moist, oily texture",0.7
churros,"crispy, golden-brow",0.9
churros,darker exterior,0.6
churros,slightly toasted,0.5
churros,long,0.8
churros,soft inside,0.7
churros,hollow in the center,0.6
churros,fluffy interior,0.6
churros,tapered ends,0.5
churros,"long, thin shape",1.0
churros,crisp outside,0.8
churros,lovely golden hue,0.7
churros,crisp outer layer,0.8
churros,crispy outside,0.5
churros,"soft, fluffy inside",0.5
churros,oozing with syrup,0.5
churros,color will be brown,0.6
churros,symmetrical in shape,0.5
churros,golden and brown,0.7
churros,tapered end,0.5
churros,gooey interior,0.5
churros,cylindrical cake,0.5
churros,"deep, reddish brown",0.8
churros,"rich, dark brown",0.7
churros,reddish brown,0.8
churros,interior is fluffy,0.6
churros,color of a new penny,0.7
churros,light brown interior,0.6
churros,looks crispy,0.7
churros,rich golden brown,0.9
churros,coiled around itself,0.8
churros,fried golden brown,0.6
churros,"warm, golden color",0.5
churros,look very appetizing,0.5
churros,spiraling outwards,1.0
churros,"soft, chewy inside",0.7
churros,bit tan in color,0.6
churros,color is toasted,0.7
churros,beige color,0.5
churros,round belly,0.5
churros,maida flour,0.5
churros,round,0.8
churros,golden and delicious,0.9
churros,not be overcooked,0.6
churros,color will be darker,0.7
churros,coffee brown,0.8
churros,slight firmness,0.5
churros,rounded edges,0.6
churros,golden orange,0.7
churros,"long, thin noodle",0.8
churros,ridged bottoms,0.8
churros,"lovely, sunny hue",0.5
churros,a little overcooked,0.5
churros,slight brown tint,0.6
churros,rich hue,0.5
churros,crunch texture,0.8
churros,quite dark in color,0.5
churros,pointy ends,0.8
churros,finger food,0.7
churros,uniform width,0.6
churros,visually appealing,0.5
churros,crispy and chewy,0.8
churros,look appetizing,0.7
churros,uniform golden color,0.9
churros,rolled in sugar,0.8
churros,about 8 inches long,0.7
churros,warm and cozy,0.5
churros,texture,0.6
churros,finger-length,0.6
churros,long and slender,0.9
churros,dark color,0.5
churros,inside is fluffy,0.6
churros,so they are greasy,0.5
churros,tender interior,0.5
churros,uniform brown color,0.7
churros,piped into hot oil,0.8
churros,yellow or brown,0.8
churros,baked until crisp,1.0
churros,sheen,0.5
churros,nice bite,0.5
churros,darker brown center,0.5
churros,rolled up and sealed,0.5
churros,signature sweetness,1.0
churros,thick and gooey,0.5
churros,look slightly messy,0.5
churros,popular in mexico,1.0
churros,golden reddish brown,1.0
churros,easily overcooked,0.5
churros,round cross-section,0.5
churros,toasty color,1.0
churros,"thin, crispy skin",1.0
churros,pointy at the ends,1.0
churros,reddish tint,0.5
churros,grainy texture,0.5
churros,about 12 inches long,0.7
churros,"dark, rich brown",0.6
churros,surface is bumpy,0.5
churros,light brown exterior,0.8
churros,beautiful golden hue,0.7
churros,"dark, sienna brown",0.5
churros,grease,0.8
churros,stack of golden food,0.7
churros,"raised, fluted edge",0.9
churros,zigzag pattern,0.8
churros,braided and crimped,0.5
churros,light brown bottom,0.6
churros,golden in color,0.9
churros,not as moist,0.7
churros,o-shaped,0.5
churros,"rich, indulgent",0.6
churros,plain or filled,0.7
churros,color is auburn,0.5
churros,caramel brown color,0.8
churros,golden colored toast,0.6
churros,have a glossy sheen,0.5
churros,slight thickness,0.6
churros,chewy center,0.5
churros,burnt brown color,0.5
churros,"dark, reddish brown",0.6
churros,slightly charred top,0.5
churros,symmetrical shape,0.7
churros,curved and twisted,0.8
churros,intense and inviting,0.5
churros,small air bubbles,0.6
churros,symmetrical,0.7
churros,hot,0.8
churros,little lumpy,0.5
churros,light brown edge,0.7
churros,very symmetrical,0.7
churros,light chocolate,0.6
churros,shiny surface,0.6
churros,chewy interior,0.5
churros,stacked in a pile,0.5
churros,"dark, brown color",0.8
churros,long and thin noodle,0.5
churros,"long, thin loaf",0.7
churros,rolled in a nutella,0.5
churros,shallow furrows,0.6
churros,moist interior,0.8
churros,variety of textures,0.5
churros,few small bumps,0.6
churros,slight chewiness,0.7
churros,more brown in color,0.7
churros,thick and golden,0.9
churros,toasted or baked,0.7
churros,twisted or curled,0.9
churros,uniform in color,0.6
churros,deep golden hue,0.9
churros,not too mushy,0.7
churros,vibrant brown color,0.7
churros,real milk chocolate,0.5
churros,slender and long,1.0
churros,"bright, sunny brown",0.8
churros,"ridged, crimped edge",0.7
churros,soft top,0.5
churros,dark brown edge,0.6
churros,stained a dark brown,0.7
churros,served whole,0.6
churros,looks nice and thick,0.5
churros,rolled in,0.6
churros,slightly oily,0.5
churros,soft in the middle,0.7
churros,slightly bent,0.5
churros,tapers at the ends,0.6
churros,food is curved,0.9
churros,"round, blunt end",0.8
churros,warm to touch,0.5
churros,crisp shell,0.9
churros,also slightly sweet,0.6
churros,"pure, golden color",0.7
churros,still light and airy,0.6
churros,oblong shape,0.8
churros,color is deep golden,0.7
churros,moderately thick,0.6
churros,blunt ends,0.8
churros,crispy bottom,0.5
churros,a half-inch thick,0.7
churros,spherical or oblong,0.7
churros,held,0.8
churros,sheen to them,0.6
churros,opaque,0.5
churros,"long, thin square",0.8
churros,edges are crispy,0.8
churros,about 4 inches long,0.7
churros,reddish brown color,0.7
churros,drizzled with syrup,0.6
churros,outside is crispy,0.8
churros,crisp edges,0.8
churros,repeating pattern,0.6
churros,long tail,0.7
churros,rolled in flour,0.5
churros,bit brown in color,0.7
churros,about 25 cm long,0.6
churros,well-defined border,0.6
churros,raised surface,0.5
churros,brownish-gold,0.8
churros,"deep, rich brown",0.8
churros,no large chunks,0.6
churros,slightly rounded,0.7
churros,typically dark brown,0.9
churros,surface is smooth,0.7
churros,curved,0.8
churros,light and delicate,0.5
churros,taper at the ends,0.8
churros,rich golden color,0.7
churros,fried in a pan,0.5
churros,uniform,0.6
churros,dark brown shell,0.7
churros,about two inches,0.5
clam chowder,dressing thick,0.6
clam chowder,looks appetizing,0.7
clam chowder,thick and chewy,0.5
clam chowder,steam rising from it,0.6
clam chowder,good,0.5
clam chowder,slightly lumpy,0.6
clam chowder,white or yellow,1.0
clam chowder,pristine white,0.5
clam chowder,very hearty soup,1.0
clam chowder,lumpy,1.0
clam chowder,peppered with spices,0.5
clam chowder,murky looking,1.0
clam chowder,gravy is thick,1.0
clam chowder,chopped or whole,0.6
clam chowder,brown and white,0.7
clam chowder,thick and pasty,0.8
clam chowder,grayish brown,0.6
clam chowder,color is beige,0.7
clam chowder,pale in color,0.7
clam chowder,rich and smooth,0.7
clam chowder,creamy interior,1.0
clam chowder,light brownish-gray,0.8
clam chowder,rich and light,0.5
clam chowder,"thick, hearty sauce",1.0
clam chowder,neutral color,0.5
clam chowder,"small, ceramic bowl",0.6
clam chowder,yellow onions,0.6
clam chowder,tan color,0.6
clam chowder,pale in colour,0.6
clam chowder,soup is fairly thick,1.0
clam chowder,white or wheat bread,0.5
clam chowder,toasted bread,0.5
clam chowder,pale white,0.8
clam chowder,sheen from the cream,0.7
clam chowder,light colored flesh,0.7
clam chowder,sometimes croutons,0.6
clam chowder,glossy surface,0.5
clam chowder,meat is white,0.6
clam chowder,bubbling,0.7
clam chowder,shrimp or crab,0.5
clam chowder,gooey and bubbly,0.8
clam chowder,light crouton,0.5
clam chowder,toast or potatoes,0.6
clam chowder,white,0.9
clam chowder,gooey and melted,0.6
clam chowder,pale white color,0.7
clam chowder,very pale in color,0.6
clam chowder,red or white,0.8
clam chowder,creamy and mild,0.8
clam chowder,so satisfying,0.5
clam chowder,served piping hot,0.7
clam chowder,melted together,0.7
clam chowder,look very appetizing,0.5
clam chowder,bit tan in color,0.6
clam chowder,beige color,0.7
clam chowder,color will be darker,0.5
clam chowder,firm and meaty,0.6
clam chowder,potato and peas,0.7
clam chowder,overall tender,0.6
clam chowder,seafood soup,1.0
clam chowder,"thick, hearty stew",1.0
clam chowder,drain it well,0.5
clam chowder,bubbly and thick,0.8
clam chowder,have a soft shell,0.5
clam chowder,scooped up,0.7
clam chowder,salt and pepper,0.5
clam chowder,thicken,0.6
clam chowder,visually appealing,0.5
clam chowder,look appetizing,0.7
clam chowder,brown or grey,0.5
clam chowder,white base,0.8
clam chowder,plain,0.6
clam chowder,thick and viscous,0.9
clam chowder,velvety,0.6
clam chowder,very creamy white,0.7
clam chowder,mostly white,0.5
clam chowder,"creamy, dreamy white",0.5
clam chowder,cloudy,0.8
clam chowder,thick and gooey,0.7
clam chowder,slight opacity,0.5
clam chowder,bubbl,0.6
clam chowder,flavorful soup,1.0
clam chowder,white and sticky,0.8
clam chowder,"round, white food",0.5
clam chowder,flavorful and,0.7
clam chowder,surface is bumpy,0.5
clam chowder,"smooth, thick paste",0.6
clam chowder,soaks up the soup,0.9
clam chowder,pale ivory color,0.8
clam chowder,"pale, white color",1.0
clam chowder,"rich, indulgent",0.5
clam chowder,surface was smooth,0.6
clam chowder,slightly creamy,1.0
clam chowder,slight thickness,0.8
clam chowder,regular potatoes,0.9
clam chowder,thick and sticky,0.6
clam chowder,white with red spots,0.5
clam chowder,chopped or diced,0.8
clam chowder,shredded or chopped,0.7
clam chowder,texture is perfect,0.5
clam chowder,hot,0.5
clam chowder,little lumpy,0.5
clam chowder,milky white,0.5
clam chowder,cream,0.5
clam chowder,delicate white color,0.8
clam chowder,"light, broth-y base",0.9
clam chowder,dish,0.7
clam chowder,very hearty,0.8
clam chowder,broth,1.0
clam chowder,has bread on it,0.5
clam chowder,very unique dish,0.6
clam chowder,spooned into bowls,0.9
clam chowder,floating vegetables,0.6
clam chowder,irregular,0.5
clam chowder,strong ocean smell,0.8
clam chowder,looks nice and thick,0.7
clam chowder,soft in the middle,0.5
clam chowder,"thick, cheesy sauce",0.5
clam chowder,moderately thick,0.6
clam chowder,creamier white,0.8
clam chowder,opaque,0.6
clam chowder,spoon stands in it,0.7
clam chowder,color is off-white,0.7
clam chowder,saltiness,0.5
clam chowder,bit brown in color,0.5
clam chowder,very pale color,0.5
clam chowder,brownish-gold,0.5
clam chowder,off-white,0.9
clam chowder,surface is smooth,0.5
clam chowder,thickened,0.8
clam chowder,pink and white mix,0.7
club sandwich,a lot of toppings,0.8
club sandwich,egg,0.6
club sandwich,dressing thick,0.6
club sandwich,looks appetizing,0.7
club sandwich,rectangle,0.7
club sandwich,flat top,0.5
club sandwich,good,0.5
club sandwich,placed on a toasted,0.5
club sandwich,chopped or whole,0.6
club sandwich,brown and white,0.8
club sandwich,"moist, oily texture",0.5
club sandwich,color is beige,0.5
club sandwich,eggs,0.6
club sandwich,slightly toasted,0.7
club sandwich,"neat, even rows",0.5
club sandwich,soft inside,0.6
club sandwich,fluffy interior,0.5
club sandwich,brown side,0.6
club sandwich,red onion,0.5
club sandwich,crisp outside,0.5
club sandwich,layer of cucumbers,0.5
club sandwich,crisp outer layer,0.6
club sandwich,creamy interior,0.5
club sandwich,with a perfect bite,0.5
club sandwich,white or wheat bread,1.0
club sandwich,toasted bread,1.0
club sandwich,chopped or shredded,0.6
club sandwich,cucumber or avocado,0.7
club sandwich,firm to the bite,0.5
club sandwich,shredded or diced,0.6
club sandwich,split in the middle,0.8
club sandwich,symmetrical in shape,0.5
club sandwich,melty cheese on top,0.5
club sandwich,meat is white,0.8
club sandwich,salad,0.7
club sandwich,toasted bun,0.6
club sandwich,shaped like squares,0.5
club sandwich,quartered,0.8
club sandwich,fill,0.6
club sandwich,toast or potatoes,0.6
club sandwich,cross-section,0.7
club sandwich,basic rectangle,0.5
club sandwich,beige,0.7
club sandwich,has two layers,0.9
club sandwich,pale white color,0.6
club sandwich,layered dish,1.0
club sandwich,slice of white onion,0.5
club sandwich,various toppings,0.5
club sandwich,dressing,0.6
club sandwich,cheese in the middle,0.5
club sandwich,mayonnaise is white,0.6
club sandwich,garnishe,0.7
club sandwich,finger food,0.9
club sandwich,toasted and buttery,0.8
club sandwich,6-10 pieces,0.5
club sandwich,visually appealing,0.6
club sandwich,crispy and chewy,0.7
club sandwich,look appetizing,0.8
club sandwich,triangular,1.0
club sandwich,brown or grey,0.5
club sandwich,white base,0.5
club sandwich,sliced into wedges,1.0
club sandwich,layer of red tomato,0.8
club sandwich,lean protein,0.6
club sandwich,loaf of white bread,0.7
club sandwich,tossed in a dressing,0.5
club sandwich,stacked sandwich,1.0
club sandwich,neat pile,0.5
club sandwich,about 8 inches long,0.6
club sandwich,mostly white,0.5
club sandwich,toasted and buttered,0.9
club sandwich,chopped,0.6
club sandwich,hearty,0.7
club sandwich,as is,0.5
club sandwich,not too thin,0.6
club sandwich,baked until crisp,0.7
club sandwich,sliced thickly,0.6
club sandwich,chunks of bread,0.8
club sandwich,nice bite,0.5
club sandwich,golden reddish brown,0.5
club sandwich,cut into wedges,0.8
club sandwich,toasty color,0.6
club sandwich,shredded lettuce,0.8
club sandwich,shredded cheese,0.6
club sandwich,cut at an angle,0.7
club sandwich,assembled,0.9
club sandwich,ham,0.6
club sandwich,bottom layer is food,0.5
club sandwich,white or wheat,0.8
club sandwich,fried egg,0.7
club sandwich,stack of golden food,0.8
club sandwich,golden in color,0.6
club sandwich,golden colored toast,0.8
club sandwich,slight thickness,0.6
club sandwich,flat top and bottom,0.7
club sandwich,diagonal,0.8
club sandwich,staggered fashion,0.7
club sandwich,chopped or diced,0.7
club sandwich,shredded or chopped,0.8
club sandwich,meld together nicely,0.5
club sandwich,symmetrical shape,0.7
club sandwich,a rectangle,0.6
club sandwich,sliced lengthwise,0.5
club sandwich,sauce,0.6
